segment,cell,copiesX,copiesY
0,0,2,0
1,0,3,3
2,0,1,1
3,0,2,1
4,0,1,1
5,0,2,1
6,0,1,1
7,0,1,1
8,0,1,2
9,0,1,1
10,0,1,1
11,0,2,1
12,0,1,1
13,0,3,1
14,0,1,3
0,1,3,2
1,1,2,3
2,1,1,1
3,1,2,3
4,1,1,1
5,1,1,1
6,1,1,1
7,1,1,1
8,1,1,1
9,1,2,1
10,1,1,1
11,1,1,1
12,1,1,1
13,1,3,2
14,1,1,3
0,2,2,0
1,2,2,0
2,2,1,1
3,2,2,1
4,2,1,1
5,2,2,1
6,2,1,1
7,2,1,1
8,2,1,2
9,2,1,1
10,2,1,1
11,2,2,1
12,2,1,1
13,2,3,1
14,2,1,3
0,3,2,0
1,3,3,3
2,3,1,1
3,3,2,1
4,3,1,1
5,3,2,1
6,3,1,1
7,3,1,1
8,3,1,2
9,3,1,1
10,3,1,1
11,3,2,1
12,3,1,1
13,3,3,1
14,3,1,3
0,4,2,0
1,4,3,3
2,4,1,1
3,4,2,1
4,4,1,1
5,4,2,1
6,4,1,1
7,4,1,1
8,4,1,2
9,4,1,1
10,4,1,1
11,4,2,1
12,4,1,1
13,4,3,1
14,4,1,3
0,5,3,2
1,5,2,3
2,5,1,1
3,5,2,3
4,5,1,1
5,5,1,1
6,5,1,1
7,5,1,1
8,5,1,1
9,5,2,1
10,5,1,1
11,5,1,1
12,5,1,1
13,5,3,2
14,5,1,3
0,6,2,0
1,6,3,3
2,6,1,1
3,6,2,1
4,6,1,1
5,6,2,1
6,6,1,1
7,6,1,1
8,6,1,2
9,6,1,1
10,6,1,1
11,6,2,1
12,6,1,1
13,6,3,1
14,6,1,3
0,7,1,0
1,7,2,3
2,7,1,1
3,7,3,1
4,7,1,1
5,7,2,1
6,7,1,1
7,7,1,1
8,7,1,2
9,7,1,1
10,7,1,1
11,7,2,1
12,7,1,1
13,7,3,1
14,7,1,3
0,8,3,2
1,8,2,3
2,8,1,1
3,8,2,3
4,8,1,1
5,8,1,1
6,8,2,3
7,8,3,3
8,8,1,1
9,8,1,1
10,8,1,1
11,8,2,1
12,8,1,1
13,8,3,1
14,8,1,3
0,9,3,2
1,9,2,3
2,9,1,1
3,9,2,3
4,9,1,1
5,9,1,1
6,9,1,1
7,9,1,1
8,9,1,1
9,9,2,1
10,9,1,1
11,9,1,1
12,9,1,1
13,9,3,2
14,9,1,3
0,10,2,0
1,10,2,0
2,10,1,1
3,10,2,1
4,10,1,1
5,10,2,1
6,10,1,1
7,10,1,1
8,10,1,2
9,10,1,1
10,10,1,1
11,10,2,1
12,10,1,1
13,10,3,1
14,10,1,3
0,11,2,0
1,11,3,3
2,11,1,1
3,11,2,1
4,11,1,1
5,11,2,1
6,11,1,1
7,11,1,1
8,11,1,2
9,11,1,1
10,11,1,1
11,11,2,1
12,11,1,1
13,11,3,1
14,11,1,3
0,12,3,2
1,12,2,3
2,12,1,1
3,12,2,3
4,12,1,1
5,12,1,1
6,12,1,1
7,12,1,1
8,12,1,1
9,12,2,1
10,12,1,1
11,12,1,1
12,12,1,1
13,12,3,2
14,12,1,3
0,13,1,0
1,13,2,3
2,13,1,1
3,13,3,1
4,13,1,1
5,13,2,1
6,13,1,1
7,13,1,1
8,13,1,2
9,13,1,1
10,13,1,1
11,13,2,1
12,13,1,1
13,13,3,1
14,13,1,3
0,14,2,0
1,14,3,3
2,14,1,1
3,14,2,1
4,14,1,1
5,14,2,1
6,14,1,1
7,14,1,1
8,14,1,2
9,14,1,1
10,14,1,1
11,14,2,1
12,14,1,1
13,14,3,1
14,14,1,3
0,15,3,2
1,15,2,3
2,15,1,1
3,15,2,3
4,15,1,1
5,15,1,1
6,15,1,1
7,15,1,1
8,15,1,1
9,15,2,1
10,15,1,1
11,15,1,1
12,15,1,1
13,15,3,2
14,15,1,3
0,16,2,0
1,16,3,3
2,16,1,1
3,16,2,1
4,16,1,1
5,16,2,1
6,16,1,1
7,16,1,1
8,16,1,2
9,16,1,1
10,16,1,1
11,16,2,1
12,16,1,1
13,16,3,1
14,16,1,3
0,17,3,2
1,17,2,3
2,17,1,1
3,17,2,3
4,17,1,1
5,17,1,1
6,17,1,1
7,17,1,1
8,17,1,1
9,17,1,1
10,17,1,1
11,17,2,1
12,17,1,1
13,17,3,1
14,17,1,3
0,18,3,2
1,18,2,3
2,18,1,1
3,18,2,3
4,18,1,1
5,18,1,1
6,18,2,3
7,18,3,3
8,18,1,1
9,18,1,1
10,18,1,1
11,18,2,1
12,18,1,1
13,18,3,1
14,18,1,3
0,19,1,0
1,19,2,3
2,19,1,1
3,19,3,1
4,19,1,1
5,19,2,1
6,19,1,1
7,19,1,1
8,19,1,2
9,19,1,1
10,19,1,1
11,19,2,1
12,19,1,1
13,19,3,1
14,19,1,3
0,20,2,0
1,20,3,3
2,20,1,1
3,20,2,1
4,20,1,1
5,20,2,1
6,20,1,1
7,20,1,1
8,20,1,2
9,20,1,1
10,20,1,1
11,20,2,1
12,20,1,1
13,20,3,1
14,20,1,3
0,21,2,0
1,21,3,3
2,21,1,1
3,21,2,1
4,21,1,1
5,21,2,1
6,21,1,1
7,21,1,1
8,21,1,2
9,21,1,1
10,21,1,1
11,21,2,1
12,21,1,1
13,21,3,1
14,21,1,3
0,22,3,2
1,22,2,3
2,22,1,1
3,22,2,3
4,22,1,1
5,22,1,1
6,22,1,1
7,22,1,1
8,22,1,1
9,22,2,1
10,22,1,1
11,22,1,1
12,22,1,1
13,22,3,2
14,22,1,3
0,23,1,0
1,23,2,3
2,23,1,1
3,23,3,1
4,23,1,1
5,23,2,1
6,23,1,1
7,23,1,1
8,23,1,2
9,23,1,1
10,23,1,1
11,23,2,1
12,23,1,1
13,23,3,1
14,23,1,3
0,24,3,2
1,24,2,3
2,24,1,1
3,24,2,3
4,24,1,1
5,24,1,1
6,24,2,3
7,24,3,3
8,24,1,1
9,24,1,1
10,24,1,1
11,24,2,1
12,24,1,1
13,24,3,1
14,24,1,3
0,25,3,2
1,25,2,3
2,25,1,1
3,25,2,3
4,25,1,1
5,25,1,1
6,25,2,3
7,25,3,3
8,25,1,1
9,25,1,1
10,25,1,1
11,25,2,1
12,25,1,1
13,25,3,1
14,25,1,3
0,26,2,0
1,26,2,0
2,26,1,1
3,26,2,1
4,26,1,1
5,26,2,1
6,26,1,1
7,26,1,1
8,26,1,2
9,26,1,1
10,26,1,1
11,26,2,1
12,26,1,1
13,26,3,1
14,26,1,3
0,27,3,2
1,27,2,3
2,27,1,1
3,27,2,3
4,27,1,1
5,27,1,1
6,27,1,1
7,27,1,1
8,27,1,1
9,27,2,1
10,27,1,1
11,27,1,1
12,27,1,1
13,27,3,2
14,27,1,3
0,28,3,2
1,28,2,3
2,28,1,1
3,28,2,3
4,28,1,1
5,28,1,1
6,28,1,1
7,28,1,1
8,28,1,1
9,28,1,1
10,28,1,1
11,28,2,1
12,28,1,1
13,28,3,1
14,28,1,3
0,29,3,2
1,29,2,3
2,29,1,1
3,29,2,3
4,29,1,1
5,29,1,1
6,29,2,3
7,29,3,3
8,29,1,1
9,29,1,1
10,29,1,1
11,29,2,1
12,29,1,1
13,29,3,1
14,29,1,3
0,30,3,2
1,30,2,3
2,30,1,1
3,30,2,3
4,30,1,1
5,30,1,1
6,30,2,3
7,30,3,3
8,30,1,1
9,30,1,1
10,30,1,1
11,30,2,1
12,30,1,1
13,30,3,1
14,30,1,3
0,31,3,2
1,31,2,3
2,31,1,1
3,31,2,3
4,31,1,1
5,31,1,1
6,31,1,1
7,31,1,1
8,31,1,1
9,31,2,1
10,31,1,1
11,31,1,1
12,31,1,1
13,31,3,2
14,31,1,3
0,32,3,2
1,32,2,3
2,32,1,1
3,32,2,3
4,32,1,1
5,32,1,1
6,32,1,1
7,32,1,1
8,32,1,1
9,32,2,1
10,32,1,1
11,32,1,1
12,32,1,1
13,32,3,2
14,32,1,3
0,33,2,0
1,33,3,3
2,33,1,1
3,33,2,1
4,33,1,1
5,33,2,1
6,33,1,1
7,33,1,1
8,33,1,2
9,33,1,1
10,33,1,1
11,33,2,1
12,33,1,1
13,33,3,1
14,33,1,3
0,34,3,2
1,34,2,3
2,34,1,1
3,34,2,3
4,34,1,1
5,34,1,1
6,34,2,3
7,34,3,3
8,34,1,1
9,34,1,1
10,34,1,1
11,34,2,1
12,34,1,1
13,34,3,1
14,34,1,3
0,35,3,2
1,35,2,3
2,35,1,1
3,35,2,3
4,35,1,1
5,35,1,1
6,35,1,1
7,35,1,1
8,35,1,1
9,35,2,1
10,35,1,1
11,35,1,1
12,35,1,1
13,35,3,2
14,35,1,3
0,36,3,2
1,36,2,3
2,36,1,1
3,36,2,3
4,36,3,0
5,36,1,1
6,36,1,3
7,36,3,1
8,36,1,1
9,36,1,1
10,36,3,3
11,36,2,1
12,36,1,1
13,36,3,1
14,36,1,3
0,37,2,0
1,37,2,0
2,37,1,1
3,37,2,1
4,37,1,1
5,37,2,1
6,37,1,1
7,37,1,1
8,37,1,2
9,37,1,1
10,37,1,1
11,37,2,1
12,37,1,1
13,37,3,1
14,37,1,3
0,38,2,0
1,38,3,3
2,38,1,1
3,38,2,1
4,38,1,1
5,38,2,1
6,38,1,1
7,38,1,1
8,38,1,2
9,38,1,1
10,38,1,1
11,38,2,1
12,38,1,1
13,38,3,1
14,38,1,3
0,39,3,2
1,39,2,3
2,39,1,1
3,39,2,3
4,39,1,1
5,39,1,1
6,39,2,3
7,39,3,3
8,39,1,1
9,39,1,1
10,39,1,1
11,39,2,1
12,39,1,1
13,39,3,1
14,39,1,3
0,40,3,2
1,40,2,3
2,40,1,1
3,40,2,3
4,40,1,1
5,40,1,1
6,40,1,1
7,40,1,1
8,40,1,1
9,40,2,1
10,40,1,1
11,40,1,1
12,40,1,1
13,40,3,2
14,40,1,3
0,41,3,2
1,41,2,3
2,41,1,1
3,41,2,3
4,41,1,1
5,41,1,1
6,41,1,1
7,41,1,1
8,41,1,1
9,41,2,1
10,41,1,1
11,41,1,1
12,41,1,1
13,41,3,2
14,41,1,3
0,42,3,2
1,42,2,3
2,42,1,1
3,42,2,3
4,42,1,1
5,42,1,1
6,42,2,3
7,42,3,3
8,42,1,1
9,42,1,1
10,42,1,1
11,42,2,1
12,42,1,1
13,42,3,1
14,42,1,3
0,43,2,0
1,43,3,3
2,43,1,1
3,43,2,1
4,43,1,1
5,43,2,1
6,43,1,1
7,43,1,1
8,43,1,2
9,43,1,1
10,43,1,1
11,43,2,1
12,43,1,1
13,43,3,1
14,43,1,3
0,44,1,1
1,44,1,1
2,44,1,1
3,44,1,1
4,44,1,1
5,44,1,1
6,44,1,1
7,44,1,1
8,44,1,1
9,44,1,1
10,44,1,1
11,44,1,1
12,44,1,1
13,44,1,1
14,44,1,1
0,45,3,2
1,45,2,3
2,45,1,1
3,45,2,3
4,45,1,1
5,45,1,1
6,45,1,1
7,45,1,1
8,45,1,1
9,45,2,1
10,45,1,1
11,45,1,1
12,45,1,1
13,45,3,2
14,45,1,3
0,46,3,2
1,46,2,3
2,46,1,1
3,46,2,3
4,46,1,1
5,46,1,1
6,46,1,1
7,46,1,1
8,46,1,1
9,46,1,1
10,46,1,1
11,46,2,1
12,46,1,1
13,46,3,1
14,46,1,3
0,47,3,2
1,47,2,3
2,47,1,1
3,47,2,3
4,47,1,1
5,47,1,1
6,47,2,3
7,47,3,3
8,47,1,1
9,47,1,1
10,47,1,1
11,47,2,1
12,47,1,1
13,47,3,1
14,47,1,3
0,48,3,2
1,48,2,3
2,48,1,1
3,48,2,3
4,48,1,1
5,48,1,1
6,48,2,3
7,48,3,3
8,48,1,1
9,48,1,1
10,48,1,1
11,48,2,1
12,48,1,1
13,48,3,1
14,48,1,3
0,49,1,0
1,49,2,3
2,49,1,1
3,49,3,1
4,49,1,1
5,49,2,1
6,49,1,1
7,49,1,1
8,49,1,2
9,49,1,1
10,49,1,1
11,49,2,1
12,49,1,1
13,49,3,1
14,49,1,3
0,50,2,0
1,50,2,0
2,50,1,1
3,50,2,1
4,50,1,1
5,50,2,1
6,50,1,1
7,50,1,1
8,50,1,2
9,50,1,1
10,50,1,1
11,50,2,1
12,50,1,1
13,50,3,1
14,50,1,3
0,51,3,2
1,51,2,3
2,51,1,1
3,51,2,3
4,51,1,1
