mutation,segment
6,0
43,0
54,0
66,0
67,0
112,0
145,0
156,0
158,0
167,0
169,0
184,0
185,0
196,0
200,0
205,0
230,0
254,0
261,0
269,0
271,0
288,0
291,0
295,0
296,0
323,0
348,0
355,0
370,0
378,0
394,0
402,0
411,0
413,0
423,0
446,0
448,0
481,0
486,0
488,0
549,0
562,0
564,0
592,0
598,0
617,0
620,0
627,0
639,0
656,0
661,0
672,0
681,0
684,0
700,0
708,0
749,0
751,0
759,0
761,0
766,0
793,0
795,0
826,0
849,0
865,0
866,0
887,0
892,0
894,0
914,0
925,0
927,0
928,0
950,0
956,0
991,0
996,0
1005,0
1014,0
1029,0
1036,0
1044,0
1055,0
1067,0
1080,0
1118,0
1171,0
1178,0
1219,0
1230,0
1256,0
1266,0
1293,0
1295,0
1299,0
1301,0
1335,0
1356,0
1369,0
1379,0
1383,0
1388,0
1408,0
1528,0
1548,0
1562,0
1571,0
1573,0
1625,0
1629,0
1641,0
1676,0
1678,0
1689,0
1704,0
1721,0
1789,0
1839,0
1897,0
1946,0
1957,0
1960,0
1970,0
1986,0
1998,0
2002,0
2012,0
2014,0
2028,0
2072,0
2075,0
2110,0
2111,0
2133,0
2149,0
2151,0
2158,0
2173,0
2182,0
2193,0
2223,0
2231,0
2236,0
2247,0
2267,0
2279,0
2295,0
2298,0
2300,0
2302,0
2303,0
2304,0
2307,0
2311,0
2323,0
2331,0
2352,0
2354,0
2396,0
2436,0
2478,0
2486,0
2502,0
2518,0
2555,0
2576,0
2587,0
2615,0
2630,0
2640,0
2641,0
2642,0
2684,0
2722,0
2731,0
2738,0
2740,0
2746,0
2751,0
2785,0
2812,0
2816,0
2856,0
2864,0
2869,0
2894,0
2911,0
2921,0
2931,0
2938,0
2942,0
2965,0
3038,0
3050,0
3053,0
3054,0
3095,0
3124,0
3145,0
3151,0
3180,0
3185,0
3190,0
3252,0
3277,0
3280,0
3283,0
3319,0
3334,0
3347,0
3350,0
3361,0
3363,0
3371,0
3387,0
3408,0
3411,0
3413,0
3432,0
3442,0
3451,0
3473,0
3558,0
3595,0
3621,0
3623,0
3628,0
3633,0
3690,0
3730,0
3732,0
3747,0
3750,0
3771,0
3782,0
3825,0
3868,0
3873,0
3903,0
3913,0
3914,0
3924,0
3927,0
3956,0
3962,0
3994,0
4077,0
4091,0
4125,0
4137,0
4148,0
4155,0
4157,0
4183,0
4202,0
4206,0
4207,0
4212,0
4214,0
4262,0
4264,0
4293,0
4325,0
4341,0
4377,0
4389,0
4394,0
4411,0
4417,0
4423,0
4424,0
4476,0
4480,0
4494,0
4497,0
4508,0
4521,0
4535,0
4553,0
4557,0
4588,0
4624,0
4631,0
4642,0
4652,0
4658,0
4675,0
4688,0
4705,0
4711,0
4724,0
4838,0
4848,0
4869,0
4894,0
4896,0
4924,0
