mutation,cluster
108,4
123,4
176,4
452,4
857,4
890,4
909,4
918,4
1051,4
1071,4
1088,4
1155,4
1232,4
1245,4
1584,4
1671,4
1722,4
1855,4
1980,4
1984,4
1993,4
2010,4
2141,4
2268,4
2294,4
2382,4
2408,4
2432,4
2576,4
2696,4
2848,4
2873,4
2880,4
2977,4
3186,4
3251,4
3254,4
3360,4
3361,4
3376,4
3460,4
3630,4
3675,4
3869,4
3951,4
4097,4
4122,4
4288,4
4375,4
4512,4
4599,4
4616,4
4637,4
4645,4
4893,4
4902,4
4993,4
11,4
178,4
185,4
213,4
252,4
281,4
404,4
410,4
483,4
532,4
533,4
543,4
570,4
585,4
681,4
685,4
767,4
783,4
790,4
793,4
820,4
833,4
863,4
951,4
1131,4
1138,4
1179,4
1287,4
1295,4
1425,4
1436,4
1473,4
1474,4
1512,4
1531,4
1562,4
1628,4
1634,4
1713,4
1759,4
1822,4
1862,4
1906,4
1925,4
1934,4
1942,4
2061,4
2103,4
2144,4
2182,4
2183,4
2249,4
2300,4
2356,4
2364,4
2416,4
2490,4
2494,4
2539,4
2551,4
2607,4
2648,4
2704,4
2763,4
2865,4
2988,4
3139,4
3202,4
3214,4
3215,4
3220,4
3232,4
3240,4
3297,4
3321,4
3392,4
3540,4
3557,4
3605,4
3633,4
3666,4
3748,4
3804,4
3821,4
3829,4
3838,4
3868,4
3887,4
3895,4
3916,4
3933,4
3971,4
4012,4
4080,4
4094,4
4138,4
4218,4
4311,4
4325,4
4401,4
4441,4
4503,4
4542,4
4562,4
4591,4
4601,4
4617,4
4619,4
4642,4
4682,4
4683,4
4714,4
4824,4
4910,4
4950,4
4970,4
4975,4
4984,4
183,4
200,4
223,4
280,4
284,4
455,4
478,4
479,4
482,4
493,4
498,4
526,4
536,4
744,4
786,4
821,4
826,4
853,4
907,4
932,4
1001,4
1053,4
1123,4
1158,4
1218,4
1380,4
1386,4
1520,4
1521,4
1526,4
1540,4
1602,4
1611,4
1670,4
1681,4
1724,4
1746,4
1755,4
1813,4
1842,4
1859,4
2067,4
2127,4
2162,4
2235,4
2281,4
2440,4
2445,4
2448,4
2583,4
2671,4
2694,4
2718,4
2736,4
2741,4
2752,4
2840,4
2870,4
2932,4
2937,4
2956,4
2979,4
2985,4
3013,4
3024,4
3236,4
3485,4
3516,4
3564,4
3569,4
3655,4
3685,4
3763,4
3894,4
4008,4
4225,4
4238,4
4269,4
4387,4
4402,4
4499,4
4504,4
4571,4
4597,4
4641,4
4817,4
4896,4
19,4
52,4
90,4
112,4
157,4
169,4
197,4
202,4
237,4
282,4
320,4
373,4
405,4
430,4
435,4
444,4
469,4
515,4
517,4
519,4
589,4
669,4
708,4
717,4
799,4
832,4
901,4
915,4
1120,4
1134,4
1149,4
1171,4
1226,4
1252,4
1351,4
1370,4
1406,4
1483,4
1547,4
1551,4
1582,4
1692,4
1719,4
1784,4
1796,4
1936,4
1960,4
1966,4
2026,4
2030,4
2066,4
2097,4
2166,4
2206,4
2326,4
2344,4
2379,4
2616,4
2650,4
2681,4
2727,4
2756,4
2775,4
2789,4
2794,4
2819,4
2860,4
3070,4
3141,4
3156,4
3206,4
3207,4
3259,4
3274,4
3276,4
3331,4
3407,4
3528,4
3555,4
3638,4
3739,4
3812,4
3817,4
3840,4
3924,4
3956,4
3977,4
3982,4
4041,4
4045,4
4051,4
4149,4
4196,4
4260,4
4270,4
4362,4
4371,4
4413,4
4425,4
4434,4
4451,4
4523,4
4546,4
4646,4
4656,4
4659,4
4710,4
4784,4
4810,4
4839,4
4846,4
4868,4
4869,4
4967,4
84,4
105,4
136,4
141,4
184,4
193,4
295,4
357,4
369,4
379,4
385,4
433,4
496,4
497,4
499,4
522,4
524,4
554,4
604,4
644,4
648,4
654,4
694,4
747,4
802,4
828,4
845,4
942,4
949,4
1005,4
1029,4
1108,4
1110,4
1121,4
1182,4
1307,4
1353,4
1415,4
1448,4
1500,4
1566,4
1571,4
1689,4
1734,4
1815,4
1843,4
1852,4
1879,4
1883,4
1908,4
1914,4
1921,4
1930,4
2108,4
2110,4
2146,4
2153,4
2178,4
2289,4
2293,4
2314,4
2396,4
2417,4
2433,4
2453,4
2456,4
2559,4
2570,4
2597,4
2612,4
2881,4
2901,4
2940,4
2965,4
2983,4
2991,4
3000,4
3037,4
3043,4
3046,4
3048,4
3064,4
3125,4
3128,4
3146,4
3166,4
3176,4
3184,4
3208,4
3258,4
3289,4
3293,4
3294,4
3326,4
3333,4
3375,4
3396,4
3417,4
3455,4
3475,4
3488,4
3494,4
3500,4
3501,4
3503,4
3553,4
3621,4
3644,4
3657,4
3698,4
3747,4
3769,4
3876,4
3884,4
3929,4
3984,4
3994,4
4015,4
4024,4
4044,4
4062,4
4106,4
4125,4
4143,4
4166,4
4197,4
4428,4
4469,4
4489,4
4589,4
4608,4
4636,4
4743,4
4764,4
4779,4
4818,4
4852,4
4887,4
4905,4
27,4
71,4
83,4
212,4
222,4
328,4
384,4
387,4
443,4
449,4
624,4
663,4
691,4
810,4
950,4
968,4
1014,4
1067,4
1094,4
1140,4
1229,4
1299,4
1304,4
1317,4
1325,4
1524,4
1558,4
1676,4
2024,4
2130,4
2291,4
2334,4
2342,4
2352,4
2368,4
2402,4
2450,4
2469,4
2620,4
2625,4
2636,4
2652,4
2666,4
2764,4
2801,4
2815,4
2934,4
3011,4
3019,4
3116,4
3201,4
3231,4
3235,4
3354,4
3413,4
3645,4
3653,4
3705,4
3729,4
3766,4
3826,4
3870,4
3875,4
4059,4
4115,4
4144,4
4160,4
4195,4
4200,4
4315,4
4547,4
4685,4
4862,4
4889,4
7,4
62,4
140,4
156,4
251,4
398,4
481,4
518,4
534,4
540,4
636,4
656,4
660,4
763,4
813,4
913,4
1028,4
1139,4
1162,4
1169,4
1175,4
1216,4
1352,4
1355,4
1405,4
1426,4
1485,4
1580,4
1603,4
1619,4
1677,4
1679,4
1750,4
1894,4
1939,4
1982,4
1997,4
2020,4
2079,4
2118,4
2175,4
2260,4
2310,4
2365,4
2429,4
2480,4
2518,4
2535,4
2595,4
2686,4
2730,4
2790,4
2792,4
2845,4
2921,4
2931,4
2968,4
2998,4
3002,4
3177,4
3219,4
3223,4
3316,4
3412,4
3457,4
3486,4
3509,4
3519,4
3565,4
3582,4
3771,4
3861,4
3913,4
3927,4
3934,4
3965,4
3987,4
4025,4
4037,4
4068,4
4074,4
4100,4
4136,4
4139,4
4184,4
4215,4
4230,4
4290,4
4356,4
4400,4
4426,4
4707,4
4829,4
4899,4
64,4
181,4
205,4
209,4
216,4
245,4
625,4
628,4
632,4
795,4
829,4
844,4
883,4
905,4
1166,4
1193,4
1195,4
1215,4
1251,4
1337,4
1343,4
1414,4
1532,4
1588,4
1591,4
1597,4
1612,4
1680,4
1747,4
1799,4
1857,4
2033,4
2080,4
2085,4
2086,4
2205,4
2406,4
2493,4
2520,4
2525,4
2571,4
2578,4
2581,4
2618,4
2725,4
2732,4
2808,4
2837,4
3016,4
3126,4
3309,4
3423,4
3459,4
3527,4
3547,4
3612,4
3622,4
3654,4
3920,4
3952,4
3962,4
3972,4
4014,4
4192,4
4296,4
4341,4
4378,4
4449,4
4611,4
4701,4
4702,4
4752,4
4842,4
4847,4
4946,4
4948,4
51,4
66,4
177,4
196,4
270,4
380,4
464,4
516,4
530,4
564,4
722,4
761,4
975,4
1345,4
1364,4
1391,4
1469,4
1503,4
1510,4
1527,4
1539,4
1846,4
1971,4
2137,4
2319,4
2542,4
2585,4
2633,4
2647,4
2654,4
2660,4
2679,4
2705,4
2927,4
3020,4
3044,4
3209,4
3303,4
3352,4
3374,4
3433,4
3614,4
3631,4
3686,4
3808,4
3860,4
3917,4
3926,4
3928,4
4086,4
4102,4
4114,4
4188,4
