mutation,segment
31,0
33,0
34,0
43,0
46,0
65,0
118,0
168,0
173,0
189,0
207,0
211,0
213,0
216,0
222,0
223,0
247,0
295,0
304,0
316,0
354,0
365,0
375,0
382,0
406,0
412,0
449,0
451,0
467,0
468,0
492,0
496,0
501,0
537,0
551,0
565,0
571,0
584,0
591,0
620,0
623,0
643,0
665,0
668,0
678,0
697,0
701,0
707,0
727,0
733,0
735,0
736,0
742,0
765,0
770,0
778,0
781,0
817,0
829,0
848,0
858,0
861,0
870,0
871,0
917,0
918,0
935,0
951,0
963,0
983,0
1005,0
1006,0
1036,0
1044,0
1056,0
1057,0
1064,0
1069,0
1074,0
1075,0
1099,0
1101,0
1146,0
1154,0
1157,0
1177,0
1182,0
1190,0
1192,0
1196,0
1207,0
1229,0
1234,0
1235,0
1258,0
1318,0
1329,0
1332,0
1346,0
1347,0
1363,0
1365,0
1371,0
1409,0
1421,0
1432,0
1443,0
1453,0
1468,0
1470,0
1494,0
1498,0
1508,0
1514,0
1531,0
1533,0
1535,0
1539,0
1542,0
1552,0
1553,0
1572,0
1575,0
1586,0
1588,0
1592,0
1646,0
1648,0
1676,0
1713,0
1724,0
1734,0
1746,0
1762,0
1801,0
1823,0
1826,0
1861,0
1873,0
1874,0
1881,0
1882,0
1886,0
1887,0
1891,0
1922,0
1939,0
1950,0
1960,0
1963,0
1988,0
2009,0
2019,0
2022,0
2029,0
2031,0
2047,0
2073,0
2080,0
2101,0
2116,0
2139,0
2141,0
2145,0
2147,0
2148,0
2173,0
2178,0
2185,0
2187,0
2194,0
2196,0
2198,0
2220,0
2256,0
2257,0
2259,0
2270,0
2274,0
2283,0
2315,0
2339,0
2340,0
2344,0
2395,0
2396,0
2406,0
2410,0
2411,0
2413,0
2426,0
2431,0
2432,0
2434,0
2460,0
2464,0
2483,0
2,1
8,1
11,1
25,1
42,1
48,1
70,1
89,1
100,1
116,1
124,1
125,1
140,1
156,1
174,1
182,1
196,1
220,1
238,1
239,1
265,1
277,1
279,1
341,1
356,1
383,1
404,1
427,1
444,1
454,1
461,1
485,1
491,1
500,1
505,1
531,1
572,1
577,1
579,1
596,1
598,1
604,1
614,1
615,1
616,1
625,1
635,1
656,1
673,1
682,1
684,1
685,1
710,1
711,1
723,1
739,1
782,1
806,1
807,1
820,1
838,1
926,1
965,1
971,1
999,1
1004,1
1009,1
1012,1
1025,1
1027,1
1039,1
1059,1
1120,1
1148,1
1163,1
1204,1
1273,1
1295,1
1307,1
1325,1
1326,1
1351,1
1353,1
1368,1
1370,1
1398,1
1426,1
1441,1
1464,1
1469,1
1474,1
1478,1
1523,1
1561,1
1569,1
1570,1
1596,1
1599,1
1610,1
1622,1
1624,1
1626,1
1647,1
1651,1
1672,1
1675,1
1688,1
1692,1
1693,1
1727,1
1744,1
1752,1
1763,1
1765,1
1772,1
1780,1
1813,1
1830,1
1841,1
1851,1
1856,1
1867,1
1880,1
1892,1
1898,1
1914,1
1917,1
1926,1
1931,1
1932,1
1941,1
1985,1
1991,1
1994,1
2015,1
2050,1
2056,1
2063,1
2066,1
2070,1
2125,1
2135,1
2163,1
2181,1
2232,1
2250,1
2251,1
2266,1
2286,1
2305,1
2329,1
2332,1
2401,1
2412,1
2415,1
2424,1
2430,1
2433,1
2440,1
2469,1
2475,1
7,2
26,2
41,2
45,2
76,2
81,2
145,2
152,2
176,2
195,2
225,2
244,2
281,2
282,2
350,2
369,2
394,2
415,2
456,2
474,2
486,2
493,2
504,2
510,2
550,2
597,2
650,2
675,2
704,2
717,2
731,2
751,2
753,2
804,2
882,2
901,2
915,2
953,2
955,2
987,2
993,2
997,2
1019,2
1029,2
1031,2
1037,2
1046,2
1047,2
1052,2
1058,2
1086,2
1093,2
1094,2
1111,2
1117,2
1149,2
1161,2
1172,2
1231,2
1239,2
1267,2
1275,2
1278,2
1320,2
1323,2
1335,2
1338,2
1360,2
1361,2
1366,2
1375,2
1387,2
1415,2
1416,2
1420,2
1437,2
1444,2
1481,2
1490,2
1529,2
1530,2
1549,2
1583,2
1623,2
1655,2
1661,2
1678,2
1686,2
1743,2
1803,2
1808,2
1825,2
1829,2
1847,2
1853,2
1865,2
1879,2
1885,2
1889,2
1980,2
1981,2
2002,2
2010,2
2021,2
2043,2
2054,2
2097,2
2098,2
2108,2
2117,2
2129,2
2136,2
2138,2
2149,2
2184,2
2226,2
2242,2
2254,2
2271,2
2321,2
2325,2
2357,2
2385,2
2394,2
2439,2
2453,2
2456,2
2466,2
2476,2
2494,2
2496,2
2498,2
14,3
28,3
63,3
71,3
131,3
155,3
190,3
201,3
235,3
325,3
362,3
373,3
376,3
393,3
396,3
397,3
405,3
417,3
419,3
452,3
508,3
509,3
512,3
516,3
529,3
533,3
541,3
547,3
588,3
595,3
599,3
607,3
608,3
646,3
659,3
667,3
688,3
694,3
695,3
726,3
755,3
756,3
766,3
793,3
795,3
815,3
821,3
853,3
878,3
889,3
899,3
900,3
905,3
925,3
940,3
949,3
964,3
968,3
977,3
979,3
1020,3
1030,3
1077,3
1085,3
1123,3
1131,3
1151,3
1180,3
1189,3
1206,3
1244,3
1251,3
1266,3
1300,3
1303,3
1305,3
1308,3
1317,3
1333,3
1345,3
1423,3
1452,3
1463,3
1473,3
1484,3
1487,3
1509,3
1574,3
1584,3
1591,3
1609,3
1617,3
1618,3
1619,3
1662,3
1664,3
1673,3
1717,3
1757,3
1828,3
1871,3
1915,3
1921,3
1928,3
1929,3
1965,3
1975,3
1984,3
2018,3
2060,3
2072,3
2084,3
2096,3
2124,3
2158,3
2176,3
2183,3
2193,3
2219,3
2228,3
2234,3
2245,3
2249,3
2260,3
2263,3
2273,3
2278,3
2306,3
2371,3
2374,3
2420,3
2427,3
2438,3
2458,3
2462,3
2490,3
2495,3
27,4
59,4
95,4
142,4
150,4
177,4
202,4
230,4
231,4
255,4
269,4
272,4
313,4
326,4
332,4
358,4
363,4
388,4
392,4
432,4
440,4
463,4
488,4
489,4
557,4
576,4
601,4
610,4
611,4
652,4
653,4
661,4
662,4
691,4
712,4
737,4
757,4
773,4
800,4
813,4
830,4
854,4
855,4
874,4
875,4
879,4
881,4
896,4
903,4
912,4
921,4
950,4
956,4
996,4
1015,4
1041,4
1050,4
1072,4
1079,4
1103,4
1125,4
1130,4
1142,4
1147,4
1158,4
1219,4
1227,4
1242,4
1250,4
1272,4
1277,4
1284,4
1314,4
1336,4
1362,4
1404,4
1407,4
1413,4
1442,4
1460,4
1471,4
1493,4
1495,4
1520,4
1524,4
1525,4
1532,4
1537,4
1548,4
1567,4
1582,4
1594,4
1595,4
1601,4
1602,4
1608,4
1627,4
1629,4
1635,4
1640,4
1707,4
1732,4
1745,4
1769,4
1775,4
1804,4
1806,4
1819,4
1839,4
1844,4
1850,4
1877,4
1896,4
1897,4
1927,4
1973,4
1998,4
2057,4
2077,4
2104,4
2119,4
2132,4
2155,4
2156,4
2167,4
2197,4
2205,4
2212,4
2238,4
2239,4
2282,4
2290,4
2310,4
2324,4
2330,4
2333,4
2335,4
2448,4
2455,4
2484,4
2497,4
3,5
9,5
13,5
15,5
19,5
29,5
37,5
55,5
67,5
91,5
93,5
102,5
110,5
130,5
144,5
149,5
198,5
233,5
241,5
250,5
252,5
262,5
288,5
299,5
318,5
334,5
343,5
345,5
353,5
370,5
389,5
395,5
414,5
418,5
431,5
443,5
447,5
453,5
476,5
478,5
479,5
483,5
528,5
582,5
586,5
621,5
627,5
632,5
638,5
654,5
672,5
722,5
728,5
744,5
787,5
790,5
835,5
839,5
840,5
845,5
862,5
909,5
913,5
954,5
972,5
1011,5
1013,5
1018,5
1034,5
1049,5
1053,5
1082,5
1096,5
1108,5
1119,5
1159,5
1174,5
1212,5
1222,5
1236,5
1262,5
1322,5
1340,5
1350,5
1392,5
1403,5
1414,5
1425,5
1466,5
1472,5
1480,5
1491,5
1500,5
1503,5
1511,5
1515,5
1546,5
1589,5
1615,5
1616,5
1677,5
1682,5
1709,5
1714,5
1718,5
1720,5
1738,5
1755,5
1779,5
1782,5
1791,5
1807,5
1810,5
1824,5
1835,5
1842,5
1848,5
1852,5
1863,5
1895,5
1899,5
1901,5
1944,5
1967,5
1968,5
1996,5
2001,5
2013,5
2033,5
2039,5
2041,5
2055,5
2067,5
2078,5
2087,5
2103,5
2114,5
2115,5
2131,5
2133,5
2150,5
2153,5
2162,5
2169,5
2180,5
2199,5
2208,5
2209,5
2213,5
2235,5
2291,5
2300,5
2312,5
2326,5
2338,5
2365,5
2372,5
2380,5
2399,5
2403,5
2409,5
2435,5
2443,5
2446,5
2457,5
2473,5
0,6
38,6
44,6
47,6
49,6
54,6
66,6
86,6
87,6
109,6
111,6
114,6
127,6
128,6
129,6
136,6
137,6
160,6
170,6
197,6
219,6
242,6
243,6
245,6
274,6
285,6
290,6
298,6
301,6
302,6
340,6
342,6
348,6
357,6
372,6
379,6
384,6
385,6
386,6
387,6
411,6
413,6
482,6
503,6
522,6
523,6
532,6
534,6
543,6
549,6
562,6
574,6
636,6
651,6
666,6
676,6
690,6
693,6
703,6
706,6
719,6
729,6
740,6
743,6
747,6
761,6
767,6
769,6
785,6
792,6
798,6
812,6
824,6
825,6
834,6
841,6
846,6
849,6
856,6
876,6
883,6
892,6
911,6
931,6
939,6
960,6
962,6
969,6
1016,6
1022,6
1040,6
1042,6
1065,6
1066,6
1067,6
1087,6
1088,6
1106,6
1115,6
1128,6
1132,6
1137,6
1152,6
1153,6
1165,6
1194,6
1200,6
1237,6
1243,6
1253,6
1260,6
1271,6
1282,6
1283,6
1293,6
1297,6
1313,6
1321,6
1337,6
1339,6
1373,6
1378,6
1381,6
1385,6
1391,6
1446,6
1447,6
1448,6
1459,6
1496,6
1510,6
1534,6
1538,6
1559,6
1565,6
1598,6
1605,6
1612,6
1628,6
1630,6
1657,6
1658,6
1663,6
1669,6
1712,6
1731,6
1733,6
1736,6
1739,6
1761,6
1764,6
1766,6
1776,6
1778,6
1814,6
1836,6
1855,6
1876,6
1906,6
1919,6
1958,6
1961,6
1974,6
1983,6
1986,6
2024,6
2025,6
2028,6
2042,6
2045,6
2051,6
2052,6
2081,6
2085,6
2086,6
2090,6
2095,6
2179,6
2224,6
2267,6
2277,6
2293,6
2297,6
2304,6
2309,6
2311,6
2331,6
2342,6
2345,6
2354,6
2377,6
2387,6
2404,6
2419,6
2421,6
2428,6
2441,6
2445,6
2452,6
2459,6
2461,6
2472,6
2482,6
24,7
32,7
60,7
79,7
96,7
98,7
103,7
121,7
123,7
148,7
180,7
185,7
206,7
214,7
305,7
309,7
317,7
328,7
333,7
347,7
360,7
378,7
399,7
470,7
473,7
475,7
536,7
539,7
559,7
564,7
568,7
592,7
641,7
680,7
681,7
698,7
724,7
741,7
788,7
802,7
809,7
837,7
842,7
859,7
930,7
984,7
988,7
991,7
998,7
1021,7
1024,7
1028,7
1080,7
1112,7
1168,7
1187,7
1205,7
1213,7
1230,7
1232,7
1291,7
1311,7
1316,7
1355,7
1356,7
1357,7
1396,7
1418,7
1505,7
1506,7
1543,7
1550,7
1680,7
1687,7
1689,7
1694,7
1697,7
1719,7
1742,7
1798,7
1800,7
1809,7
1816,7
1843,7
1858,7
1883,7
1888,7
1894,7
1909,7
1920,7
1924,7
1948,7
1952,7
1978,7
1979,7
1992,7
1999,7
2065,7
2092,7
2112,7
2126,7
2177,7
2190,7
2192,7
2201,7
2225,7
2258,7
2296,7
2301,7
2323,7
2348,7
2355,7
2366,7
2369,7
2386,7
2391,7
2418,7
2444,7
2447,7
53,8
69,8
72,8
83,8
133,8
134,8
147,8
157,8
163,8
169,8
178,8
181,8
210,8
218,8
221,8
237,8
248,8
267,8
278,8
287,8
296,8
319,8
324,8
327,8
364,8
448,8
460,8
464,8
498,8
