SNV3627,1
SNV3629,1
SNV3635,2
SNV3644,3
SNV3646,2
SNV3648,3
SNV3650,3
SNV3652,4
SNV3676,3
SNV3685,3
SNV3688,4
SNV3699,5
SNV3700,3
SNV3716,3
SNV3717,3
SNV3719,3
SNV3742,3
SNV3767,3
SNV3796,3
SNV3851,3
SNV3059,3
SNV3081,3
SNV3094,2
SNV3104,3
SNV3115,3
SNV3118,3
SNV3176,3
SNV3177,2
SNV3178,3
SNV3179,1
SNV3180,3
SNV3185,6
SNV3194,4
SNV3196,3
SNV3212,3
SNV3229,6
SNV3245,3
SNV3267,1
SNV3268,3
SNV3284,2
SNV3321,3
SNV3342,3
SNV3343,3
SNV3355,5
SNV3356,3
SNV3361,5
SNV3393,3
SNV3439,3
SNV3447,1
SNV3470,7
SNV3472,3
SNV3475,1
SNV3478,2
SNV3481,8
SNV3497,1
SNV3500,2
SNV3525,3
SNV3528,3
SNV3529,1
SNV3540,3
SNV3542,3
SNV3556,3
SNV3563,3
SNV3580,3
SNV3581,1
SNV3582,2
SNV3583,5
SNV3584,7
SNV3585,3
SNV3586,3
SNV3587,3
SNV3588,3
SNV3589,2
SNV3590,3
SNV3592,3
SNV3593,3
SNV3595,1
SNV3596,3
SNV3597,6
SNV3599,7
SNV3602,3
SNV3603,2
SNV3604,2
SNV3605,3
SNV3606,8
SNV3607,1
SNV3608,2
SNV3611,3
SNV3613,3
SNV3614,2
SNV3616,3
SNV3617,3
SNV3618,6
SNV3620,3
SNV3621,3
SNV3622,3
SNV3623,1
SNV3624,1
SNV3625,3
SNV3626,2
SNV3628,3
SNV3630,2
SNV3631,2
SNV3632,3
SNV3633,2
SNV3634,1
SNV3637,2
SNV3638,2
SNV3639,3
SNV3640,3
SNV3641,3
SNV3642,6
SNV3643,2
SNV3645,3
SNV3649,3
SNV3651,3
SNV3653,3
SNV3654,3
SNV3655,2
SNV3656,1
SNV3657,6
SNV3658,3
SNV3659,1
SNV3660,3
SNV3661,3
SNV3662,2
SNV3663,3
SNV3664,3
SNV3666,3
SNV3667,2
SNV3668,3
SNV3670,1
SNV3671,2
SNV3672,1
SNV3673,2
SNV3674,3
SNV3675,2
SNV3677,3
SNV3678,3
SNV3679,2
SNV3680,1
SNV3681,3
SNV3682,3
SNV3683,2
SNV3684,3
SNV3686,3
SNV3687,3
SNV3689,3
SNV3690,3
SNV3691,3
SNV3692,2
SNV3693,3
SNV3694,3
SNV3695,3
SNV3696,6
SNV3697,2
SNV3698,3
SNV3701,3
SNV3702,3
SNV3703,3
SNV3704,2
SNV3705,3
SNV3706,2
SNV3707,1
SNV3708,3
SNV3709,6
SNV3710,3
SNV3711,6
SNV3712,2
SNV3713,7
SNV3714,3
SNV3715,3
SNV3718,3
SNV3720,1
SNV3721,1
SNV3722,1
SNV3723,3
SNV3724,3
SNV3725,5
SNV3726,6
SNV3727,2
,1
SNV3728,2
SNV3729,7
SNV3730,3
SNV3731,3
SNV3732,1
SNV3733,1
SNV3734,2
SNV3735,3
SNV3736,4
,4
SNV3737,3
SNV3739,8
SNV3740,3
SNV3741,1
SNV3743,3
SNV3744,3
SNV3745,3
SNV3746,3
SNV3747,1
SNV3748,5
SNV3749,2
SNV3750,3
SNV3751,3
SNV3752,2
SNV3753,2
SNV3754,1
SNV3755,1
SNV3756,3
SNV3757,3
SNV3758,1
SNV3759,3
SNV3760,3
SNV3761,3
SNV3762,3
SNV3763,2
SNV3765,3
SNV3766,3
SNV3768,1
SNV3769,5
SNV3771,2
SNV3772,2
SNV3773,2
SNV3774,3
SNV3775,3
SNV3776,3
SNV3777,3
SNV3778,2
SNV3779,3
SNV3780,2
SNV3781,3
SNV3782,5
SNV3783,2
SNV3786,3
SNV3787,3
SNV3788,3
SNV3789,3
SNV3790,2
SNV3791,3
SNV3792,2
SNV3793,3
SNV3794,3
SNV3795,3
SNV3797,2
SNV3798,3
SNV3799,3
SNV3800,3
SNV3801,3
SNV3802,3
SNV3803,5
SNV3804,3
SNV3805,1
SNV3806,3
SNV3807,3
SNV3808,2
SNV3809,3
SNV3810,3
SNV3811,3
SNV3812,1
SNV3813,5
SNV3814,3
SNV3815,3
SNV3816,3
SNV3817,3
SNV3818,3
SNV3819,7
SNV3820,3
SNV3821,3
SNV3822,2
SNV3823,3
SNV3824,2
SNV3825,3
SNV3827,3
SNV3828,3
SNV3829,3
SNV3830,5
SNV3831,3
SNV3832,2
SNV3833,3
SNV3834,1
SNV3835,5
SNV3836,3
SNV3837,2
SNV3838,2
SNV3839,2
SNV3840,4
SNV3841,2
SNV3842,2
SNV3843,2
SNV3844,1
SNV3845,3
SNV3847,2
SNV3848,3
SNV3849,7
SNV3850,3
SNV3852,6
SNV3853,1
SNV3854,7
SNV3855,3
SNV3054,4
SNV3055,2
SNV3056,1
SNV3058,1
SNV3060,3
SNV3061,3
SNV3062,2
SNV3063,5
SNV3064,1
SNV3065,3
SNV3066,3
SNV3067,3
SNV3068,1
SNV3069,6
SNV3070,4
SNV3071,2
SNV3072,3
SNV3073,3
SNV3074,3
SNV3075,1
SNV3076,2
SNV3077,3
SNV3078,1
SNV3079,3
SNV3080,3
SNV3082,3
SNV3083,2
SNV3084,1
SNV3085,3
SNV3086,3
SNV3087,3
SNV3088,2
SNV3089,3
SNV3090,3
SNV3091,3
SNV3092,4
SNV3093,3
SNV3095,1
SNV3096,2
SNV3097,2
SNV3098,3
SNV3099,6
SNV3101,3
SNV3102,1
,1
SNV3103,2
SNV3105,3
SNV3106,3
SNV3107,3
SNV3108,2
SNV3109,3
SNV3110,3
SNV3111,3
SNV3112,5
SNV3113,3
SNV3114,1
SNV3116,1
SNV3117,3
SNV3119,1
SNV3120,1
,3
SNV3121,3
SNV3122,3
SNV3123,3
SNV3124,1
SNV3125,1
SNV3126,1
SNV3127,1
SNV3182,3
SNV3183,3
SNV3184,3
SNV3186,2
SNV3187,2
SNV3188,3
SNV3189,3
SNV3190,1
SNV3191,3
SNV3192,1
SNV3193,3
SNV3198,2
SNV3199,3
SNV3200,2
SNV3201,3
SNV3202,2
SNV3203,3
SNV3204,1
SNV3205,2
SNV3206,1
SNV3207,3
SNV3208,3
SNV3209,3
SNV3210,6
SNV3211,3
SNV3213,1
SNV3214,3
SNV3215,3
SNV3216,2
SNV3217,2
SNV3218,1
SNV3219,5
SNV3220,2
SNV3221,2
