mutation,cluster
5,8
121,8
133,8
149,8
326,8
346,8
354,8
364,8
499,8
617,8
618,8
621,8
747,8
866,8
941,8
1003,8
1055,8
1110,8
1387,8
1400,8
1472,8
1521,8
1935,8
2001,8
2038,8
2117,8
2376,8
2378,8
2416,8
2492,8
2520,8
2584,8
2614,8
2804,8
2811,8
2899,8
2992,8
3159,8
3214,8
3420,8
3430,8
3431,8
3523,8
3677,8
3699,8
3754,8
3904,8
4226,8
4229,8
4423,8
4560,8
4656,8
4670,8
4766,8
59,8
187,8
593,8
624,8
632,8
737,8
853,8
965,8
996,8
1035,8
1096,8
1112,8
1151,8
1305,8
1512,8
1541,8
2125,8
2204,8
2217,8
2344,8
2385,8
2470,8
2576,8
2681,8
2901,8
3076,8
3150,8
3167,8
3388,8
3421,8
3515,8
3537,8
3721,8
3753,8
3798,8
3812,8
3862,8
3906,8
3964,8
4069,8
4089,8
4173,8
4274,8
4384,8
4390,8
4443,8
4504,8
4539,8
4619,8
4979,8
24,8
359,8
431,8
641,8
722,8
872,8
976,8
982,8
1245,8
1458,8
1561,8
1661,8
2139,8
2450,8
2862,8
2870,8
3072,8
3138,8
3395,8
3578,8
3626,8
3819,8
3825,8
3855,8
4237,8
4628,8
4652,8
4839,8
4898,8
452,8
884,8
1125,8
1185,8
1262,8
1295,8
1363,8
1537,8
1582,8
1693,8
1714,8
1908,8
1926,8
2079,8
2323,8
2479,8
2552,8
2779,8
2796,8
2818,8
2822,8
3212,8
3362,8
3441,8
3552,8
3560,8
3750,8
3778,8
3779,8
3887,8
3918,8
3954,8
3960,8
4061,8
4071,8
4276,8
4345,8
4750,8
4797,8
21,8
26,8
118,8
176,8
225,8
317,8
350,8
409,8
596,8
611,8
630,8
646,8
790,8
814,8
961,8
974,8
975,8
1015,8
1037,8
1085,8
1123,8
1198,8
1237,8
1333,8
1707,8
1797,8
1858,8
2027,8
2110,8
2299,8
2419,8
2449,8
2570,8
2824,8
2840,8
2846,8
2936,8
3134,8
3503,8
3953,8
3997,8
4162,8
4178,8
4397,8
4549,8
4550,8
4777,8
4932,8
4980,8
67,8
205,8
223,8
330,8
333,8
485,8
714,8
791,8
920,8
1067,8
1246,8
1421,8
1603,8
1680,8
1722,8
1733,8
1744,8
1899,8
1929,8
1969,8
2029,8
2104,8
2137,8
2420,8
2529,8
2619,8
2636,8
2883,8
3021,8
3041,8
3284,8
3467,8
3521,8
3637,8
3654,8
3952,8
4024,8
4120,8
4219,8
4256,8
4259,8
4299,8
4347,8
4442,8
4734,8
4834,8
4905,8
4956,8
46,8
254,8
435,8
521,8
594,8
758,8
763,8
810,8
886,8
1047,8
1241,8
1283,8
1438,8
1451,8
1765,8
1794,8
2092,8
2155,8
2725,8
3157,8
3203,8
3320,8
3344,8
3443,8
3489,8
3531,8
3561,8
3563,8
3771,8
3907,8
4029,8
4206,8
4220,8
4254,8
4420,8
4582,8
4635,8
4755,8
58,8
181,8
186,8
270,8
459,8
589,8
735,8
847,8
934,8
1008,8
1046,8
1321,8
1326,8
1334,8
1339,8
1362,8
1393,8
1416,8
1422,8
1563,8
1647,8
1856,8
2042,8
2153,8
2404,8
2406,8
2591,8
2799,8
