mutation,cluster
5,9
121,9
133,9
149,9
326,9
346,9
354,9
364,9
499,9
617,9
618,9
621,9
747,9
866,9
941,9
1003,9
1055,9
1110,9
1387,9
1400,9
1472,9
1521,9
1935,9
2001,9
2038,9
2117,9
2376,9
2378,9
2416,9
2492,9
2520,9
2584,9
2614,9
2804,9
2811,9
2899,9
2992,9
3159,9
3214,9
3420,9
3430,9
3431,9
3523,9
3677,9
3699,9
3754,9
3904,9
4226,9
4229,9
4423,9
4560,9
4656,9
4670,9
4766,9
5029,9
5065,9
5079,9
5102,9
5201,9
5279,9
5325,9
5353,9
5381,9
5565,9
5618,9
5707,9
5725,9
5801,9
6036,9
6086,9
6129,9
6146,9
6272,9
6391,9
6447,9
6918,9
7122,9
7183,9
7211,9
7274,9
7312,9
7474,9
7496,9
7547,9
7550,9
7827,9
7838,9
7913,9
7975,9
8205,9
8214,9
8217,9
8250,9
8418,9
8508,9
8678,9
8784,9
8848,9
8893,9
8940,9
8941,9
8948,9
9171,9
9230,9
9264,9
9308,9
9414,9
9491,9
9557,9
9580,9
9585,9
9715,9
9756,9
9837,9
59,9
187,9
593,9
624,9
632,9
737,9
853,9
965,9
996,9
1035,9
1096,9
1112,9
1151,9
1305,9
1512,9
1541,9
2125,9
2204,9
2217,9
2344,9
2385,9
2470,9
2576,9
2681,9
2901,9
3076,9
3150,9
3167,9
3388,9
3421,9
3515,9
3537,9
3721,9
3753,9
3798,9
3812,9
3862,9
3906,9
3964,9
4069,9
4089,9
4173,9
4274,9
4384,9
4390,9
4443,9
4504,9
4539,9
4619,9
4979,9
5033,9
5528,9
5651,9
5701,9
5774,9
5944,9
5986,9
5996,9
6064,9
6306,9
6307,9
6542,9
6568,9
6765,9
6836,9
7060,9
7085,9
7225,9
7425,9
7545,9
7600,9
7822,9
7995,9
7996,9
8021,9
8431,9
8440,9
8560,9
8689,9
8724,9
8808,9
8921,9
9007,9
9280,9
9287,9
9314,9
9472,9
9501,9
9649,9
9834,9
24,9
359,9
431,9
641,9
722,9
872,9
976,9
982,9
1245,9
1458,9
1561,9
1661,9
2139,9
2450,9
2862,9
2870,9
3072,9
3138,9
3395,9
3578,9
3626,9
3819,9
3825,9
3855,9
4237,9
4628,9
4652,9
4839,9
4898,9
5126,9
5221,9
5397,9
5465,9
5491,9
5526,9
5717,9
5754,9
5904,9
5991,9
6031,9
6055,9
6188,9
6262,9
6281,9
6350,9
6361,9
6505,9
6539,9
6578,9
6730,9
7095,9
7104,9
7146,9
7202,9
7223,9
7286,9
7414,9
7499,9
7662,9
7808,9
7842,9
7919,9
7965,9
8008,9
8061,9
8597,9
8631,9
8791,9
8804,9
8869,9
8888,9
8892,9
9350,9
9420,9
9800,9
452,9
884,9
1125,9
1185,9
1262,9
1295,9
1363,9
1537,9
1582,9
1693,9
1714,9
1908,9
1926,9
2079,9
2323,9
2479,9
2552,9
2779,9
2796,9
2818,9
2822,9
3212,9
3362,9
3441,9
3552,9
3560,9
3750,9
3778,9
3779,9
3887,9
3918,9
3954,9
3960,9
4061,9
4071,9
4276,9
4345,9
4750,9
4797,9
5155,9
5287,9
5529,9
5628,9
5820,9
5899,9
5964,9
5973,9
6162,9
6429,9
6441,9
6469,9
6509,9
6573,9
6592,9
6759,9
6998,9
7234,9
7293,9
7306,9
7419,9
7462,9
7765,9
7905,9
7957,9
8002,9
8128,9
8265,9
8394,9
8452,9
8674,9
8693,9
8938,9
8965,9
9260,9
9318,9
9587,9
9612,9
9912,9
9968,9
21,9
26,9
118,9
176,9
225,9
317,9
350,9
409,9
596,9
611,9
630,9
646,9
790,9
814,9
961,9
974,9
975,9
1015,9
1037,9
1085,9
1123,9
1198,9
