mutation,cluster
34,7
73,7
74,7
92,7
105,7
156,7
160,7
199,7
249,7
277,7
298,7
328,7
411,7
416,7
444,7
529,7
532,7
562,7
620,7
734,7
780,7
820,7
1133,7
1140,7
1264,7
1306,7
1356,7
1421,7
1553,7
1575,7
1629,7
1648,7
1652,7
1684,7
1697,7
1714,7
1715,7
1769,7
1790,7
1818,7
1938,7
1949,7
1986,7
1992,7
2013,7
2108,7
2192,7
2196,7
2256,7
2258,7
2301,7
2327,7
2341,7
2353,7
2382,7
2390,7
2490,7
2495,7
2516,7
2604,7
2610,7
2656,7
2724,7
2819,7
2874,7
2944,7
3086,7
3126,7
3142,7
3208,7
3239,7
3254,7
3256,7
3270,7
3349,7
3379,7
3388,7
3394,7
3425,7
3454,7
3686,7
3691,7
3728,7
3802,7
3839,7
3851,7
3877,7
3924,7
4001,7
4012,7
4020,7
4030,7
4097,7
4124,7
4165,7
4277,7
4312,7
4313,7
4320,7
4362,7
4495,7
4504,7
4508,7
4513,7
4555,7
4622,7
4639,7
4687,7
4713,7
4742,7
4826,7
4871,7
4952,7
4954,7
4984,7
4989,7
5092,7
5121,7
5166,7
5177,7
5260,7
5309,7
5345,7
5354,7
5421,7
5427,7
5444,7
5484,7
5507,7
5534,7
5567,7
5664,7
5703,7
5800,7
5815,7
5889,7
5899,7
5917,7
5927,7
5963,7
5975,7
6072,7
6098,7
6099,7
6133,7
6191,7
6239,7
6290,7
6308,7
6347,7
6390,7
6398,7
6425,7
6433,7
6466,7
6467,7
6475,7
6545,7
6572,7
6591,7
6778,7
6850,7
6939,7
7059,7
7130,7
7222,7
7275,7
7360,7
7362,7
7387,7
7397,7
7403,7
7479,7
7501,7
7589,7
7624,7
7667,7
7728,7
7752,7
7770,7
7814,7
7858,7
7916,7
7954,7
8026,7
8052,7
8070,7
8073,7
8091,7
8103,7
8129,7
8146,7
8201,7
8223,7
8290,7
8336,7
8390,7
8392,7
8425,7
8466,7
8598,7
8600,7
8658,7
8671,7
8707,7
8718,7
8794,7
8795,7
8890,7
8954,7
9044,7
9150,7
9250,7
9290,7
9296,7
9309,7
9314,7
9371,7
9381,7
9405,7
9410,7
9445,7
9460,7
9497,7
9509,7
9542,7
9571,7
9589,7
9622,7
9637,7
9680,7
9697,7
9778,7
9780,7
9896,7
9908,7
9968,7
9991,7
52,7
76,7
122,7
131,7
214,7
222,7
471,7
514,7
564,7
593,7
602,7
637,7
712,7
755,7
756,7
761,7
802,7
824,7
842,7
851,7
1004,7
1070,7
1136,7
1351,7
1367,7
1369,7
1429,7
1434,7
1435,7
1450,7
1475,7
1494,7
1517,7
1569,7
1595,7
1602,7
1612,7
1659,7
1680,7
1692,7
1704,7
1752,7
1794,7
1809,7
1812,7
1871,7
1890,7
1896,7
1923,7
1980,7
2038,7
2045,7
2077,7
2109,7
2276,7
2315,7
2408,7
2442,7
2491,7
2498,7
2537,7
2559,7
2725,7
2741,7
2773,7
2804,7
2808,7
2849,7
2895,7
2900,7
2952,7
2954,7
2971,7
2984,7
3015,7
3018,7
3087,7
3088,7
3114,7
3265,7
3291,7
3324,7
3333,7
3351,7
3428,7
3540,7
3546,7
3631,7
3759,7
3768,7
3823,7
3826,7
3831,7
3873,7
3887,7
3905,7
3912,7
3989,7
3992,7
4059,7
4081,7
4109,7
4112,7
4118,7
4157,7
4181,7
4203,7
4245,7
4310,7
4327,7
4333,7
4353,7
4392,7
4441,7
4566,7
4571,7
4605,7
4621,7
4676,7
4747,7
4837,7
4839,7
4867,7
5029,7
5053,7
5158,7
5263,7
5270,7
5304,7
5380,7
5394,7
5429,7
5449,7
5475,7
5488,7
5541,7
5591,7
5625,7
5628,7
5652,7
5661,7
5710,7
5842,7
5859,7
5877,7
5937,7
5970,7
6006,7
6089,7
6224,7
6228,7
6252,7
6362,7
6395,7
6412,7
6424,7
6426,7
6495,7
6517,7
6559,7
6585,7
6609,7
6610,7
6639,7
6667,7
6697,7
6710,7
6820,7
6823,7
6855,7
6896,7
6907,7
7202,7
7242,7
7254,7
7282,7
7366,7
7377,7
7466,7
7492,7
7496,7
7506,7
7518,7
7526,7
7542,7
7710,7
